Gene stable ID	Gene start (bp)	Gene end (bp)	Gene name	Chromosome/scaffold name	Mouse gene stable ID	Mouse chromosome/scaffold name	Mouse chromosome/scaffold start (bp)	Mouse chromosome/scaffold end (bp)	Mouse gene name
ENSG00000241744	101228141	101228876		12					
ENSG00000179941	76344474	76348415	BBS10	12	ENSMUSG00000035759	10	111134540	111137588	Bbs10
ENSG00000277457	130494	134559	LENG1	HSCHR19LRC_LRC_S_CTG3_1					
ENSG00000276875	813264	825281	KIR3DL3	HSCHR19LRC_LRC_J_CTG3_1					
ENSG00000185955	100456620	100464260	SPACDR	7					
ENSG00000275737	194387	208682	KIR2DS2	HSCHR19KIR_FH15_B_HAP_CTG3_1					
ENSG00000235872	67658991	67670919		12					
ENSG00000137709	120236640	120319945	POU2F3	11	ENSMUSG00000032015	9	43035234	43121666	Pou2f3
ENSG00000276731	177968	192496		HSCHR19KIR_FH15_B_HAP_CTG3_1					
ENSG00000207204	98794718	98794824	RNU6-393P	7					
ENSG00000240991	133125479	133125952	RPL23AP67	12					
ENSG00000266019	98881650	98881729	MIR3609	7					
ENSG00000278296	850879	850985	U6	HSCHR19LRC_LRC_S_CTG3_1					
ENSG00000286305	98989867	98993778		7					
ENSG00000277996	135016	148058		HSCHR19LRC_LRC_S_CTG3_1					
ENSG00000238109	98998538	98999930	RNF14P3	7					
ENSG00000284840	99032894	99032940		7					
ENSG00000243107	92200014	92206857		7					
ENSG00000278481	166421	175937		HSCHR19KIR_FH15_B_HAP_CTG3_1					
ENSG00000200769	92202243	92202334	Y_RNA	7					
ENSG00000221520	92204015	92204098	MIR1285-1	7					
ENSG00000266368	11953889	11977594		17					
ENSG00000169372	93677375	93894840	CRADD	12	ENSMUSG00000045867	10	95010608	95159995	Cradd
ENSG00000230101	134734898	134735129	TUBB3P2	7					
ENSG00000235427	116542718	116551969		7					
ENSG00000277163	150177	164580	KIR2DS3	HSCHR19KIR_FH15_B_HAP_CTG3_1					
ENSG00000105810	92604921	92836573	CDK6	7	ENSMUSG00000040274	5	3391485	3581008	Cdk6
ENSG00000101400	33407957	33443763	SNTA1	20	ENSMUSG00000027488	2	154218233	154250019	Snta1
ENSG00000065559	12020829	12143830	MAP2K4	17	ENSMUSG00000033352	11	65579069	65679123	Map2k4
ENSG00000276279	134875	147768	KIR2DP1	HSCHR19KIR_FH15_B_HAP_CTG3_1					
ENSG00000229935	155314066	155314368	MTCYBP9	2					
ENSG00000275522	118422	132958	KIR2DL1	HSCHR19KIR_FH15_B_HAP_CTG3_1					
ENSG00000270100	20678254	20678932		2					
ENSG00000213222	131723253	131724279	TOMM40P4	2					
ENSG00000196570	177400109	177400661	PFN3	5	ENSMUSG00000044444	13	55562501	55563045	Pfn3
ENSG00000278691	104771	116279	KIR3DP1	HSCHR19KIR_FH15_B_HAP_CTG3_1					
ENSG00000277424	177013	212670	HMOX2	HSCHR16_3_CTG1					
ENSG00000277540	88224	109700	KIR2DL4	HSCHR19KIR_FH15_B_HAP_CTG3_1					
ENSG00000186190	33053903	33073847	BPIFB3	20	ENSMUSG00000068008	2	153760150	153774916	Bpifb3
ENSG00000278365	77273	81393	NDUFA3	HSCHR19LRC_LRC_S_CTG3_1					
ENSG00000136718	130342877	130347967	IMP4	2	ENSMUSG00000026127	1	34478932	34488437	Imp4
ENSG00000274533	819633	830491	KIR2DS4	HSCHR19LRC_LRC_S_CTG3_1					
ENSG00000198055	177403204	177442901	GRK6	5	ENSMUSG00000074886	13	55592885	55608740	Grk6
ENSG00000275921	841921	856414		HSCHR19LRC_LRC_J_CTG3_1					
ENSG00000276739	832361	849155	KIR3DL2	HSCHR19LRC_LRC_S_CTG3_1					
ENSG00000164500	50095883	50159256	SPMIP7	7	ENSMUSG00000020191	11	11412094	11465192	Spmip7
ENSG00000293026	169440	174977	LILRP2	HSCHR19KIR_T7526_BDEL_HAP_CTG3_1					
ENSG00000290528	98252	111674		HSCHR19KIR_T7526_BDEL_HAP_CTG3_1					
ENSG00000122778	138831381	138981389	KIAA1549	7	ENSMUSG00000063455	6	38100109	38230944	D630045J12Rik
ENSG00000220237	107229759	107230152	RPS24P12	6					
ENSG00000276099	181988	184516	LILRP1	HSCHR19KIR_T7526_BDEL_HAP_CTG3_1					
ENSG00000218428	116137058	116137572	NIP7P3	6					
ENSG00000088305	32762385	32809359	DNMT3B	20	ENSMUSG00000082079	2	153538572	153571827	Dnmt3c
ENSG00000088305	32762385	32809359	DNMT3B	20	ENSMUSG00000027478	2	153491370	153529650	Dnmt3b
ENSG00000274120	169661	174291	LILRP2	HSCHR19KIR_T7526_BDEL_HAP_CTG3_1					
ENSG00000287229	113863402	113871597		12					
ENSG00000258179	87820654	87820918		12					
ENSG00000275172	146389	158408	KIR3DL3	HSCHR19KIR_T7526_BDEL_HAP_CTG3_1					
ENSG00000168538	183659267	183713594	TRAPPC11	4	ENSMUSG00000038102	8	47943150	47986505	Trappc11
ENSG00000183273	119334712	119541040	CCDC60	12	ENSMUSG00000043913	5	116262700	116427044	Ccdc60
ENSG00000112031	152987362	153002709	MTRF1L	6	ENSMUSG00000019774	10	5761887	5773910	Mtrf1l
ENSG00000223496	70246778	70251940	EXOSC6	16	ENSMUSG00000109941	8	111782971	111784296	Exosc6
ENSG00000276145	44314	55747	TARM1	HSCHR19LRC_LRC_J_CTG3_1					
ENSG00000265648	70276069	70276352	RN7SL279P	16					
ENSG00000277025	148221	164847	MBOAT7	HSCHR19LRC_LRC_J_CTG3_1					
ENSG00000286867	29775504	29781216		19					
ENSG00000275037	71689	86302		HSCHR19KIR_FH15_B_HAP_CTG3_1					
ENSG00000268975	40771648	40796943	MIA-RAB4B	19					
ENSG00000213111	136034553	136034886	COX5BP2	6					
ENSG00000252707	12036496	12036637	RNU11-2P	17					
ENSG00000266297	12081899	12081996	MIR744	17	ENSMUSG00000076460	11	65625559	65625658	Mir744
ENSG00000242100	29956369	29956988	RPL9P32	19					
ENSG00000263648	12115547	12115885		17					
ENSG00000265400	12201600	12215267		17					
ENSG00000276082	112549	130558	CNOT3	HSCHR19LRC_LRC_J_CTG3_1					
ENSG00000237449	132594398	132595436	TAAR4P	6					
ENSG00000272129	80355424	80356859		6					
ENSG00000286617	12390738	12395177		17					
ENSG00000259541	120249759	120265932		11					
ENSG00000287462	12596743	12632959		17					
ENSG00000265489	12760140	12790242	ARHGAP44-AS1	17					
ENSG00000220725	55680642	55681021		6					
ENSG00000265503	12917268	12917342	MIR1269B	17					
ENSG00000227360	156493226	156505011		6					
ENSG00000280168	12973033	12973834		17					
ENSG00000277621	12982613	12983002		17					
ENSG00000173598	93377883	93408146	NUDT4	12	ENSMUSG00000020029	10	95382869	95400008	Nudt4
ENSG00000263707	12990149	12990610		17					
ENSG00000274303	120365666	120365963	7SK	11					
ENSG00000121289	32875925	32971991	CEP89	19	ENSMUSG00000023072	7	35096460	35138114	Cep89
ENSG00000288071	80046715	80084776		6					
ENSG00000157349	70289663	70335305	DDX19B	16	ENSMUSG00000033658	8	111729820	111758383	Ddx19b
ENSG00000173457	64244479	64246943	PPP1R14B	11	ENSMUSG00000073730	1	23139554	23141334	Ppp1r14bl
ENSG00000220514	153668589	153668858	MTND4LP20	6					
ENSG00000146374	127118671	127199481	RSPO3	6	ENSMUSG00000019880	10	29328412	29411863	Rspo3
ENSG00000217160	153665707	153666390	MTCO2P31	6					
ENSG00000220181	154549517	154550242	MTRES1P1	6					
ENSG00000001036	143494812	143511720	FUCA2	6	ENSMUSG00000019810	10	13375284	13394779	Fuca2
ENSG00000006744	12991612	13018065	ELAC2	17	ENSMUSG00000020549	11	64869864	64892895	Elac2
ENSG00000257069	64291722	64304769	KCNK4-CATSPERZ	11					
ENSG00000207024	64296037	64296138	Y_RNA	11					
ENSG00000220110	128639188	128639653	RPL21P64	6					
ENSG00000273944	1051847	1070740	RDH13	HSCHR19LRC_LRC_J_CTG3_1					
ENSG00000219435	64300358	64304770	CATSPERZ	11	ENSMUSG00000050623	19	6899739	6902748	Catsperz
ENSG00000276425	130392	144417	KIR2DS2	HSCHR19KIR_T7526_BDEL_HAP_CTG3_1					
ENSG00000213335	54485169	54485850	CLNS1AP1	6					
ENSG00000261003	170414139	170419325		6					
ENSG00000273578	113706	128262	KIR2DL2	HSCHR19KIR_T7526_BDEL_HAP_CTG3_1					
ENSG00000119899	73593379	73653992	SLC17A5	6	ENSMUSG00000049624	9	78443770	78495323	Slc17a5
ENSG00000274672	165233	169508	TSEN34	HSCHR19LRC_LRC_J_CTG3_1					
ENSG00000276212	106218	111674	KIR3DP1	HSCHR19KIR_T7526_BDEL_HAP_CTG3_1					
ENSG00000280148	143857318	143938471		6					
ENSG00000136235	23235967	23275108	GPNMB	7	ENSMUSG00000029816	6	49013480	49047863	Gpnmb
ENSG00000277355	82011	93087	KIR2DL4	HSCHR19KIR_T7526_BDEL_HAP_CTG3_1					
ENSG00000126432	64318121	64321811	PRDX5	11	ENSMUSG00000024953	19	6884065	6887474	Prdx5
ENSG00000236326	116244187	116244728		6					
ENSG00000187714	49610310	49612720	SLC18A3	10	ENSMUSG00000100241	14	32184395	32186807	Slc18a3
ENSG00000219146	154576309	154577079	RPS4XP8	6					
ENSG00000219547	80374015	80374569	RPL17P25	6					
ENSG00000276065	1021228	1045787	GP6	HSCHR19LRC_LRC_J_CTG3_1					
ENSG00000198105	37776526	37858106	ZNF248	10	ENSMUSG00000030145	6	118404280	118432489	Zfp248
ENSG00000216713	153668879	153669901	MTND4P13	6					
ENSG00000236681	204306842	204307364	DSTNP5	2					
ENSG00000230482	197263111	197263535	ATP5MC2P3	2					
ENSG00000271635	111558413	111559937	DBF4P2	2					
ENSG00000223947	100993676	101002244		2					
ENSG00000228374	139732708	139733282	RPL9P13	2					
ENSG00000168702	140231423	142131016	LRP1B	2	ENSMUSG00000049252	2	40485258	42543636	Lrp1b
ENSG00000112290	110099819	110180004	WASF1	6	ENSMUSG00000019831	10	40759471	40814566	Wasf1
ENSG00000167578	40778216	40796942	RAB4B	19	ENSMUSG00000053291	7	26867849	26878321	Rab4b
ENSG00000287014	60150187	60269686		12					
ENSG00000279993	131025561	131028060		12					
ENSG00000257410	71793855	71799627		12					
ENSG00000136048	101877580	102012130	DRAM1	12	ENSMUSG00000020057	10	88158666	88214942	Dram1
ENSG00000277629	913663	920602		HSCHR19LRC_LRC_J_CTG3_1					
ENSG00000199874	24170505	24170623	RNA5SP452	18					
ENSG00000273524	24179038	24179295	Metazoa_SRP	18	ENSMUSG00000093112	8	111225484	111225774	Gm22701
ENSG00000206766	24218300	24218404	RNU6-435P	18					
ENSG00000212051	24321686	24321735	MIR320C2	18					
ENSG00000264365	24364787	24367984		18					
ENSG00000273321	24402153	24402714		18					
ENSG00000293651	31223716	31268549		18					
ENSG00000293721	57253557	57433608		18					
ENSG00000272566	189703881	189704490		4					
ENSG00000168071	64340204	64357534	CCDC88B	11	ENSMUSG00000047810	19	6821991	6835579	Ccdc88b
ENSG00000283043	60038269	60038586		4					
ENSG00000257289	68913804	68914022		12					
ENSG00000276177	60105	69601	KIR2DL5A	HSCHR19KIR_FH15_B_HAP_CTG3_1					
ENSG00000286907	92008052	92022595		12					
ENSG00000293804	77717838	77720032		18					
ENSG00000151005	163471095	163473754	TKTL2	4	ENSMUSG00000025519	8	66964408	66970987	Tktl2
ENSG00000293872	31782979	31802529		18					
ENSG00000293986	53947296	53959138		18					
ENSG00000267270	80147907	80179839	PARD6G-AS1	18					
ENSG00000278086	43860	58264		HSCHR19KIR_FH15_B_HAP_CTG3_1					
ENSG00000139767	118981541	119163051	SRRM4	12	ENSMUSG00000063919	5	116577334	116729876	Srrm4
ENSG00000177803	163932526	163933182	YWHAQP4	4					
ENSG00000251643	187441677	187444298	COPS3P1	4					
ENSG00000275306	26965	41413	KIR2DS1	HSCHR19KIR_FH15_B_HAP_CTG3_1					
ENSG00000272646	182881777	182882203		4					
ENSG00000174145	37244743	37449463	NWD2	4	ENSMUSG00000090061	5	63806445	63967889	Nwd2
ENSG00000278403	8297	25091	KIR3DL2	HSCHR19KIR_FH15_B_HAP_CTG3_1					
ENSG00000266412	46005088	46030623	NCOA4	10	ENSMUSG00000056234	14	31881822	31901812	Ncoa4
ENSG00000274873	135016	148058		HSCHR19LRC_LRC_J_CTG3_1					
ENSG00000267593	58808468	58834364	LINC01926	18					
ENSG00000249698	155457180	155457960	MTCO3P9	4					
ENSG00000249066	60750575	60796103	LINC02496	4					
ENSG00000267396	58398602	58400099		18					
ENSG00000249945	175457726	175473197		4					
ENSG00000294167	79391848	79393855		18					
ENSG00000188078	36536656	36537604		22					
ENSG00000225176	148703526	148703832	ATP5MGP4	4					
ENSG00000287007	42084262	42115632		18					
ENSG00000294357	59789503	59790051		18					
ENSG00000250577	138923930	138924232		4					
ENSG00000294391	74456331	74460784		18					
ENSG00000229971	36552165	36552700		22					
ENSG00000251490	187516153	187517208		4					
ENSG00000294451	75614942	75639552		18					
ENSG00000185149	155208636	155217078	NPY2R	4	ENSMUSG00000028004	3	82445690	82455391	Npy2r
ENSG00000261675	36560870	36562915		22					
ENSG00000294453	40343583	40431635		18					
ENSG00000289168	46868636	46875768		18					
ENSG00000275935	130494	134559	LENG1	HSCHR19LRC_LRC_J_CTG3_1					
ENSG00000105063	55229779	55259017	PPP6R1	19	ENSMUSG00000052296	7	4634494	4662018	Ppp6r1
ENSG00000127324	71125085	71441898	TSPAN8	12	ENSMUSG00000034127	10	115652737	115685798	Tspan8
ENSG00000293306	31724195	31775641		18					
ENSG00000100242	38733290	38794143	SUN2	22	ENSMUSG00000042524	15	79608271	79626737	Sun2
ENSG00000251609	120895494	120897083	SETP12	4					
ENSG00000294476	75621047	75637538		18					
ENSG00000248546	164197007	164197711	ANP32CP	4					
ENSG00000294482	40412998	40413764		18					
ENSG00000289064	31701741	31725348		18					
ENSG00000276363	15200	38320	VSTM1	HSCHR19LRC_LRC_J_CTG3_1					
ENSG00000242169	188349376	188350024	RPL7AP27	4					
ENSG00000283355	184014035	184016382		4					
ENSG00000249877	189288677	189291336		4					
ENSG00000294516	31595416	31611217		18					
ENSG00000294564	51991234	52060938		18					
ENSG00000248517	184988997	185005186	LINC02437	4					
ENSG00000131188	177446445	177456286	PRR7	5	ENSMUSG00000034686	13	55612080	55620967	Prr7
ENSG00000294580	4181386	4182643		18					
ENSG00000294654	3041981	3052527		18					
ENSG00000249520	185064981	185065323		4					
ENSG00000293054	69469915	69471743		18					
ENSG00000250292	183380345	183381705		4					
ENSG00000267038	61652117	61682913		18					
ENSG00000250768	64430909	64433215	DPP3P1	4					
ENSG00000294733	13998343	14029582		18					
ENSG00000294740	28178174	28189108		18					
ENSG00000250356	74917822	74918138	HSPE1P23	4					
ENSG00000267150	14089919	14091019		18					
ENSG00000250746	164188311	164190367		4					
ENSG00000260440	61747971	61758464	LINC01544	18					
ENSG00000225304	204379095	204379792		2					
ENSG00000250636	183028601	183029720		4					
ENSG00000230391	115468056	115468938	RPSAP23	2					
ENSG00000249106	175790307	175812189	GPM6A-DT	4					
ENSG00000229890	108099110	108099492	ACTP1	2					
ENSG00000267247	12229837	12234698		18					
ENSG00000162989	154697855	154858354	KCNJ3	2	ENSMUSG00000026824	2	55325982	55488157	Kcnj3
ENSG00000294768	78197067	78199150		18					
ENSG00000004864	96120220	96322147	SLC25A13	7	ENSMUSG00000015112	6	6041218	6217173	Slc25a13
ENSG00000294777	61569367	61570181		18					
ENSG00000294788	12228069	12230961		18					
ENSG00000294809	58976859	59008531		18					
ENSG00000294812	9436591	9447255		18					
ENSG00000250189	141405172	141407586		4					
ENSG00000294828	59029460	59042257		18					
ENSG00000200761	4920770	4921064	RN7SKP113	4					
ENSG00000221275	9556168	9556316	MIR548I2	4					
ENSG00000203436	9711953	9712233	Metazoa_SRP	4	ENSMUSG00000093249	7	15680173	15680420	Gm24576
ENSG00000252002	9792751	9792861	RNA5SP154	4					
ENSG00000222182	11414051	11414160	RNA5SP156	4					
ENSG00000294885	59061746	59070517		18					
ENSG00000212282	12312588	12312690	RNU6-578P	4					
ENSG00000294909	59050603	59057337		18					
ENSG00000202449	14690710	14690832	SNORA63	4	ENSMUSG00002074900	11	22796868	22796969	Gm56414
ENSG00000202449	14690710	14690832	SNORA63	4	ENSMUSG00002076055	8	124198123	124198236	Gm56113
ENSG00000202449	14690710	14690832	SNORA63	4	ENSMUSG00002075811	X	136051564	136051682	Gm54830
ENSG00000199420	15093767	15094094	RN7SKP170	4	ENSMUSG00002075120	10	114746616	114746940	Gm55666
ENSG00000207716	11368827	11368921	MIR572	4					
ENSG00000206780	17320746	17320882	SNORA75B	4	ENSMUSG00000064862	16	78220618	78220747	Gm25038
ENSG00000206780	17320746	17320882	SNORA75B	4	ENSMUSG00000065231	8	106715133	106715263	Gm22972
ENSG00000283271	13051342	13051411	U6	4					
ENSG00000266397	2967018	2985410		18					
ENSG00000207697	24520192	24520290	MIR573	4					
ENSG00000243005	24563193	24563461	RN7SL16P	4					
ENSG00000276498	65476	80089		HSCHR19KIR_T7526_BDEL_HAP_CTG3_1					
ENSG00000239001	22118983	22119089	RNU6-420P	4					
ENSG00000251816	19181814	19181856	RNA5SP157	4					
ENSG00000294985	61791212	61825855		18					
ENSG00000279821	177476631	177479656		5					
ENSG00000243548	28711198	28711476	RN7SL101P	4					
ENSG00000294986	10002470	10020891		18					
ENSG00000283275	28819582	28819668	MIR4275	4					
ENSG00000238632	25598564	25598625	RNU7-126P	4					
ENSG00000235522	105846534	105857177		2					
ENSG00000283666	29510635	29510737	U6	4	ENSMUSG00000064524	X	150044914	150045017	Gm26441
ENSG00000283207	36426366	36426428	MIR1255B1	4					
ENSG00000222206	27223319	27223427	Y_RNA	4					
ENSG00000238694	34966241	34966344		4					
ENSG00000206665	35495898	35496003	RNU6-573P	4					
ENSG00000264319	37241910	37241991	MIR4801	4					
ENSG00000200720	45480030	45480136	RNU6-931P	4					
ENSG00000252243	46531237	46531342	RNU6-412P	4	ENSMUSG00002076468	5	73128522	73128607	Gm55032
ENSG00000144120	119679167	119686507	TMEM177	2	ENSMUSG00000036975	1	119835620	119840938	Tmem177
ENSG00000295007	35128511	35137789		18					
ENSG00000206675	39297605	39297711	RNU6-32P	4					
ENSG00000239679	43863274	43863549	RN7SL193P	4					
ENSG00000222257	45995119	45995423	RN7SKP199	4	ENSMUSG00002076315	2	24491377	24491701	Gm56283
ENSG00000267694	13461020	13471333		18					
ENSG00000252913	48932755	48932854	RNU6-158P	4					
ENSG00000183258	177511577	177516961	DDX41	5	ENSMUSG00000021494	13	55678223	55684471	Ddx41
ENSG00000277388	47652669	47652743	MIR8053	4					
ENSG00000199780	59533786	59533898	Y_RNA	4					
ENSG00000265829	60922619	60922684	MIR548AG1	4					
ENSG00000202169	61906313	61906408	Y_RNA	4					
ENSG00000201775	59834063	59834167	RNU6-1325P	4					
ENSG00000295104	25900655	25959165		18					
ENSG00000252890	66897262	66897371	RNU6-699P	4	ENSMUSG00000089593	16	8154857	8154960	Gm26159
ENSG00000295121	59218855	59220062		18					
ENSG00000252104	64397694	64397787	RNU6-191P	4					
ENSG00000206629	67429591	67429754	RNU1-63P	4	ENSMUSG00000118871	3	48909171	48909334	Gm23511
ENSG00000295149	13938360	13992828		18					
ENSG00000274759	67439992	67440118	RNA5SP527	4					
ENSG00000127364	141776674	141781691	TAS2R4	7	ENSMUSG00000037140	6	40470463	40471475	Tas2r108
ENSG00000295163	75977487	75989971		18					
ENSG00000201676	59833175	59833276	Y_RNA	4					
ENSG00000279389	109451	155864	GARRE1	HSCHR19_1_CTG3_1					
ENSG00000210839	73026748	73026873	RNU6ATAC5P	4					
ENSG00000263611	27375310	27401910		18					
ENSG00000252955	72965178	72965303	RNU4ATAC9P	4					
ENSG00000252762	81928313	81928439		4	ENSMUSG00002076040	5	99803560	99803691	Gm56119
ENSG00000202485	82174547	82174653	RNU6-499P	4	ENSMUSG00000089009	2	120965672	120965777	Gm23858
ENSG00000230104	172674212	172674898		2					
ENSG00000200108	84233657	84233763	RNU6-774P	4	ENSMUSG00000088217	12	108828490	108828595	Gm22079
ENSG00000293042	15056845	15198397		18					
ENSG00000201901	85100496	85100823	RN7SKP48	4					
ENSG00000274623	6467	6573	U6	HSCHR19KIR_FH15_B_HAP_CTG3_1					
ENSG00000123384	57128483	57213361	LRP1	12	ENSMUSG00000040249	10	127374030	127457017	Lrp1
ENSG00000207746	82753337	82753430	MIR575	4					
ENSG00000199530	82944738	82944845	Y_RNA	4					
ENSG00000286679	155525424	155664668		2					
ENSG00000136280	44999475	45076469	CCM2	7	ENSMUSG00000000378	11	6496887	6546744	Ccm2
ENSG00000251874	83003412	83003517	RNU6-615P	4	ENSMUSG00000089005	9	107782427	107782525	Gm23856
ENSG00000200622	95868667	95868764	RNU6-1059P	4	ENSMUSG00000089530	9	72164318	72164421	Gm25163
ENSG00000266421	85722468	85722533	MIR4451	4					
ENSG00000201640	96348734	96349038	RN7SKP28	4					
ENSG00000199529	101723876	101723980	RNU6-462P	4	ENSMUSG00000088405	14	89630512	89630625	Gm25886
ENSG00000199529	101723876	101723980	RNU6-462P	4	ENSMUSG00000088761	14	56654223	56654325	Gm24392
ENSG00000199529	101723876	101723980	RNU6-462P	4	ENSMUSG00000089563	16	10055782	10055884	Gm24667
ENSG00000252470	107435118	107435220	RNU6-551P	4	ENSMUSG00000065591	11	23429561	23429667	Gm22753
ENSG00000252470	107435118	107435220	RNU6-551P	4	ENSMUSG00000088668	5	19720403	19720505	Gm25335
ENSG00000201744	96152297	96152403	RNU6-34P	4					
ENSG00000252460	103924540	103924641	RNU6-635P	4					
ENSG00000262860	20188	77063	LSM14A	HSCHR19_1_CTG3_1					
ENSG00000201633	83636196	83636290	Y_RNA	4					
ENSG00000275994	118279190	118279320	SNORA24	4	ENSMUSG00000092730	3	123301586	123301715	Snora24
ENSG00000243227	109450772	109451068	RN7SL55P	4					
ENSG00000207988	109488698	109488795	MIR576	4					
ENSG00000273882	101240795	101240872	MIR8066	4					
ENSG00000221265	101330302	101330414	MIR1255A	4					
ENSG00000223006	121061172	121061478	RN7SKP137	4					
ENSG00000252183	121192797	121192903	RNU6-948P	4					
ENSG00000201752	116839279	116839385	RNU6-119P	4					
ENSG00000212359	120810469	120810569	RNU6-550P	4					
ENSG00000200553	119947131	119947232	Y_RNA	4					
ENSG00000207322	135995929	135996092	RNU1-89P	4					
ENSG00000206782	131273242	131273348	RNU6-224P	4					
ENSG00000207148	121329069	121329170	Y_RNA	4					
ENSG00000240637	114799331	114799629	RN7SL808P	4					
ENSG00000201314	145958128	145958240	Y_RNA	4					
ENSG00000283432	135315418	135315522	U6	4	ENSMUSG00002076360	9	52668208	52668325	Gm54880
ENSG00000295258	34959417	34965561		18					
ENSG00000201846	148557947	148558048	RNA5SP166	4					
ENSG00000239168	148991572	148991633	RNU7-197P	4					
ENSG00000287723	15165189	15198409		18					
ENSG00000207121	149934376	149934483	RNU6-1230P	4	ENSMUSG00000065815	4	69028908	69029014	Gm24697
ENSG00000202331	149907560	149907675	RNA5SP167	4					
ENSG00000252951	147745303	147745417	RNA5SP165	4					
ENSG00000252233	139794125	139794433	RN7SKP253	4					
ENSG00000295284	30084752	30176049		18					
ENSG00000264274	147782595	147782668	MIR4799	4					
ENSG00000240014	147808926	147809209	RN7SL254P	4					
ENSG00000237532	128580491	128581576		2					
ENSG00000221369	147344629	147344717	MIR548G	4					
ENSG00000206978	159064297	159064398	Y_RNA	4					
ENSG00000223554	139824896	139825877		2					
ENSG00000274535	158909373	158909450	SNORD39	4					
ENSG00000287662	208885755	208888143		2					
ENSG00000199634	158395394	158395534	RNU4-79P	4					
ENSG00000206711	166312935	166313034	Y_RNA	4					
ENSG00000236440	140683360	140683888	COPRSP1	2					
ENSG00000222721	167662986	167663302	RN7SKP188	4					
ENSG00000252959	166053187	166053287	RNA5SP170	4					
ENSG00000236655	126311466	126311927	SLC6A14P3	2					
ENSG00000275323	175840	182627	RPS9	HSCHR19LRC_LRC_J_CTG3_1					
ENSG00000231954	130272479	130273511	MTND2P22	2					
ENSG00000263635	15075445	15123439		18					
ENSG00000251961	170891467	170891597	RNU6ATAC13P	4					
ENSG00000253001	163828800	163829113	RN7SKP105	4					
ENSG00000295305	30113399	30145452		18					
ENSG00000230603	109665209	109665742		2					
ENSG00000200521	157768013	157768113	Y_RNA	4					
ENSG00000282228	31913	56943	PAM16	HSCHR16_3_CTG1					
ENSG00000287943	45571231	45689027		18					
ENSG00000278502	171186184	171186292	MIR6082	4					
ENSG00000240772	167400495	167400762	RN7SL776P	4					
ENSG00000278359	64341849	64341904	MIR7155	11					
ENSG00000212373	166918364	166918478	RNA5SP171	4					
ENSG00000201727	178406695	178406830	RNA5SP173	4					
ENSG00000283468	163093574	163093628	MIR4454	4					
ENSG00000295317	34158987	34200409		18					
ENSG00000201433	183675603	183675715	RNU6-335P	4					
ENSG00000288545	45669367	45782840		18					
ENSG00000251739	183705931	183706031	RNU6-1053P	4					
ENSG00000252157	183653572	183653676	RNU6-479P	4					
ENSG00000231266	16227027	16228194		2					
ENSG00000201516	176098163	176098285		4	ENSMUSG00000065716	X	168478777	168478895	Gm25651
ENSG00000244512	184278936	184279233	RN7SL28P	4					
ENSG00000165606	49364066	49396089	DRGX	10	ENSMUSG00000041730	14	32321364	32371203	Drgx
ENSG00000223816	92034522	92035000	IGKV1OR2-2	2					
ENSG00000252343	182548659	182548779	RNU2-34P	4					
ENSG00000222582	154787118	154787278	RNU2-66P	4					
ENSG00000218418	80064286	80070199		6					
ENSG00000251714	182631454	182631688	RN7SKP67	4	ENSMUSG00002076747	8	3778925	3779237	Gm56017
ENSG00000252604	154790291	154790484	RNU2-44P	4					
ENSG00000265846	174423795	174423864	MIR4276	4					
ENSG00000112029	152970519	152983579	FBXO5	6	ENSMUSG00000019773	10	5749160	5755600	Fbxo5
ENSG00000201085	188121531	188121634	RNU6-173P	4					
ENSG00000295339	22297775	22324824		18					
ENSG00000253626	79512533	79516440	EIF5AL1	10	ENSMUSG00000078812	11	69807540	69812784	Eif5a
ENSG00000202215	189709539	189709714	RNU1-51P	4	ENSMUSG00002075206	2	126476459	126476607	Gm56297
ENSG00000212191	178685886	178685956		4					
ENSG00000188816	123148136	123150672	HMX2	10	ENSMUSG00000050100	7	131150502	131159743	Hmx2
ENSG00000162302	64359148	64372215	RPS6KA4	11	ENSMUSG00000118668	19	6806578	6818004	Rps6ka4
ENSG00000259959	47840122	47844339		4					
ENSG00000287295	75506209	75521944		18					
ENSG00000276982	69048	77107	OSCAR	HSCHR19LRC_LRC_J_CTG3_1					
ENSG00000295387	55845631	55866061		18					
ENSG00000227345	49818279	49970203	PARG	10	ENSMUSG00000021911	14	31923906	32019507	Parg
ENSG00000072135	130356045	130375405	PTPN18	2	ENSMUSG00000026126	1	34498843	34514814	Ptpn18
ENSG00000267325	55776727	55781722	LINC01415	18					
ENSG00000131013	149504495	149546043	PPIL4	6	ENSMUSG00000015757	10	7668655	7698899	Ppil4
ENSG00000265962	8695856	8707721	GACAT2	18					
ENSG00000262113	151190	151654		HSCHR19_1_CTG3_1					
ENSG00000170448	47847233	47914667	NFXL1	4	ENSMUSG00000072889	5	72670644	72717027	Nfxl1
ENSG00000295415	55779905	55782620		18					
ENSG00000295431	55697643	55698409		18					
ENSG00000287993	75641481	75656092		18					
ENSG00000221878	42924132	42937207	PSG7	19	ENSMUSG00000011350	7	24518220	24539700	Gm5893
ENSG00000263382	26822339	26825171		18					
ENSG00000289624	22476204	22563250		18					
ENSG00000274414	25239007	25245229		20					
ENSG00000295596	54604719	54607144		18					
ENSG00000100994	25248085	25298012	PYGB	20	ENSMUSG00000033059	2	150628655	150673678	Pygb
